Filename,score
AF1.jpg,2.33
AF10.jpg,3.43
AF100.jpg,2.9
AF1000.jpg,3.97
AF1001.jpg,3.73
AF1002.jpg,2.62
AF1003.jpg,2.87
AF1004.jpg,3.3
AF1005.jpg,2.22
AF1006.jpg,3.45
AF1007.jpg,2.7
AF1008.jpg,2.78
AF1009.jpg,3.87
AF101.jpg,2.35
AF1010.jpg,2.58
AF1011.jpg,3.1
AF1012.jpg,2.77
AF1013.jpg,3.82
AF1014.jpg,4.32
AF1015.jpg,3.68
AF1016.jpg,3.82
AF1017.jpg,3.5
AF1018.jpg,3.32
AF1019.jpg,2.08
AF102.jpg,2.8
AF1020.jpg,2.87
AF1021.jpg,2.93
AF1022.jpg,3.77
AF1023.jpg,3.4
AF1024.jpg,3.37
AF1025.jpg,1.87
AF1026.jpg,3.65
AF1027.jpg,3.98
AF1028.jpg,2.13
AF1029.jpg,3.95
AF103.jpg,2.6
AF1030.jpg,2.32
AF1031.jpg,4.03
AF1032.jpg,3.32
AF1033.jpg,2.27
AF1034.jpg,3.05
AF1035.jpg,3.52
AF1036.jpg,2.75
AF1037.jpg,2.0
AF1038.jpg,2.65
AF1039.jpg,4.2
AF104.jpg,2.83
AF1040.jpg,2.23
AF1041.jpg,2.38
AF1042.jpg,3.12
AF1043.jpg,2.52
AF1044.jpg,2.98
AF1045.jpg,3.82
AF1046.jpg,2.28
AF1047.jpg,3.65
AF1048.jpg,3.15
AF1049.jpg,2.95
AF105.jpg,4.03
AF1050.jpg,3.18
AF1051.jpg,2.7
AF1052.jpg,2.78
AF1053.jpg,2.67
AF1054.jpg,3.22
AF1055.jpg,3.45
AF1056.jpg,4.22
AF1057.jpg,3.15
AF1058.jpg,3.78
AF1059.jpg,3.03
AF106.jpg,3.03
AF1060.jpg,2.43
AF1061.jpg,2.77
AF1062.jpg,4.18
AF1063.jpg,4.32
AF1064.jpg,3.88
AF1065.jpg,3.85
AF1066.jpg,1.68
AF1067.jpg,2.58
AF1068.jpg,4.12
AF1069.jpg,3.18
AF107.jpg,1.88
AF1070.jpg,2.5
AF1071.jpg,3.13
AF1072.jpg,3.23
AF1073.jpg,2.67
AF1074.jpg,3.12
AF1075.jpg,3.9
AF1076.jpg,1.4
AF1077.jpg,3.12
AF1078.jpg,3.48
AF1079.jpg,2.97
AF108.jpg,2.78
AF1080.jpg,3.92
AF1081.jpg,2.9
AF1082.jpg,2.63
AF1083.jpg,4.4
AF1084.jpg,1.83
AF1085.jpg,2.28
AF1086.jpg,3.65
AF1087.jpg,2.77
AF1088.jpg,3.87
AF1089.jpg,2.03
AF109.jpg,2.33
AF1090.jpg,3.97
AF1091.jpg,2.92
AF1092.jpg,2.25
AF1093.jpg,3.63
AF1094.jpg,4.07
AF1095.jpg,2.67
AF1096.jpg,2.37
AF1097.jpg,2.47
AF1098.jpg,1.55
AF1099.jpg,4.18
AF11.jpg,2.32
AF110.jpg,3.25
AF1100.jpg,2.67
AF1101.jpg,3.8
AF1102.jpg,3.83
AF1103.jpg,3.05
AF1104.jpg,4.13
AF1105.jpg,1.72
AF1106.jpg,3.52
AF1107.jpg,4.22
AF1108.jpg,1.87
AF1109.jpg,3.88
AF111.jpg,2.75
AF1110.jpg,4.23
AF1111.jpg,2.38
AF1112.jpg,4.23
AF1113.jpg,3.35
AF1114.jpg,2.97
AF1115.jpg,4.02
AF1116.jpg,4.02
AF1117.jpg,1.97
AF1118.jpg,1.83
AF1119.jpg,2.7
AF112.jpg,2.65
AF1120.jpg,2.9
AF1121.jpg,1.97
AF1122.jpg,3.6
AF1123.jpg,2.52
AF1124.jpg,3.55
AF1125.jpg,2.75
AF1126.jpg,2.58
AF1127.jpg,2.87
AF1128.jpg,2.53
AF1129.jpg,4.17
AF113.jpg,3.37
AF1130.jpg,2.83
